job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/7206403.html,武侯区,9k-14k,深圳市汇合发展有限公司,3-5年,本科,5天工作制 年终奖 六险一金 项目稳定,岗位要求：1、全日制统招本科以上学历，计算机相关专业2、3年以上软件测试工作经验， 熟悉自动化测试优先3、熟悉Python编程语言；有银行项目经验优先考虑4、沟通能力良好，有团队协作精神工作职责：金融银行项目福利介绍：1、入职购买六险一金（公司全额购买商业险可用于门诊医疗报销），免费的上下班班车接送；2、1-2个月年终奖金，根据入职时间来计算（多数员工可拿到超过一个月薪资年终奖）；3、转正员工每季度享有600元额外季度奖金；节假日：端午，中秋，春节，年后开工利是分别有300元现金福利；4、入职满一年可享有5天带薪年假；法定节假日放假安排；5、入职满一年有2次调薪调级别机会（4，10月）；工作表现优异者有机会转为总行内部员工；6、团队每月1-2次下午茶活动，每年公司会组织一次外出团建旅游活动；7、办公环境优良，加班有加班费（全额工资为计算基数，加班不超过晚上10点，平日加班为时薪1.5倍，周末加班为日薪2倍，周末加班也可优先选择调休，管理人性化）。,"企业服务,金融",2000人以上,测试,成都
测试工程师,https://www.lagou.com/jobs/7130143.html,高新区,8k-11k,宁夏博信通科技有限公司,1-3年,不限,五险一金 周末双休 节日福利 季度团建,工作内容：1. 熟悉产品需求，根据需求设计测试用例；2. 执行测试用例，跟踪bug，完成测试报告；3. 调试，优化，分析解决项目中遇到的问题；4. 建立和维护测试工作的相关文档。收起任职要求：1、熟悉软件开发流程，2年以上工作经验，熟悉软件测试各种方法2、至少掌握Java、Shell、Python，Ruby、Perl等其中一项语言；3、熟悉selenium、testng的优先；4、熟悉性能测试框架的优先收起,"企业服务,信息安全",2000人以上,测试,成都
测试工程师,https://www.lagou.com/jobs/7080209.html,,6k-10k,北京云维世纪信通信息技术有限公司,3-5年,本科,双休，年终奖，公积金，定期团队活动,工作职责：搭建产品测试环境和设计测试流程编写功能和性能测试用例测试产品功能和性能编写自动化测试用例任职资格:2年以上软件测试行业相关经验熟悉常用的测试软件和流程至少1个web项目测试经验有自动化测试经验者优先有网络相关测试经验者优先有优秀的沟通和团队合作能力,"数据服务,软件开发",15-50人,测试,成都
软件测试工程师,https://www.lagou.com/jobs/6709775.html,武侯区,7k-14k,深圳市汇合发展有限公司,不限,本科,双休、加班费、年终奖等,（首要/硬性条件：全日制统招本科及以上学历，学信网必须可查；不接受自考或专升本学历！）目前测试方向为功能+自动化（开发测试）方向，没有任何出差，长期稳定的项目和平台。招行所有项目组都会做自动化测试，因而有自动化测试、金融银行项目、性能测试、Java（C）等语言开发或理解能力者优先考虑。也可考虑18届毕业生。工作地点：成都武侯区天府四街。,"企业服务,金融",2000人以上,测试,成都
软件测试工程师（平台方向）,https://www.lagou.com/jobs/7132004.html,高新区,6k-8k,北京卡拉卡尔科技股份有限公司,1-3年,大专,五险一金 弹性工作 节日福利,岗位职责：1、独立完成现有项目测试工作，对项目质量负责2、使用常用接口测试工具完成接口测试3、不断优化测试方法和提升测试效率4、协调产品、开发推进问题解决5、提升个人技能，完成团队自动化工作任职要求：1、计算机相关专业，测试工作经验2年以上，熟悉测试流程，熟练各类测试工具的使用2、能够独立完成测试用例设计、执行，有较强的bug定位、关联风险功能的分析能力3、熟悉数据库、linux常用操作，并在实际测试工作中有一定的应用4、熟悉接口测试，有一定接口测试经验5、工作细致有担当，能够发现测试过程中存在的风险，参与问题跟踪分析并主动协调资源推进问题解决加分项目：1、了解前、后端技术，可以根据了解的技术提供开发同事建议，发现潜在问题2、了解python，对自动化测试有过尝试或有使用python辅助完成测试工作的经验,"数据服务,文娱丨内容",150-500人,测试,成都
软件测试工程师,https://www.lagou.com/jobs/5131958.html,高新区,6k-10k,北京卡拉卡尔科技股份有限公司,1-3年,本科,"五险一金,周末双休,节日福利,弹性上班",1、从事测试工作2年以上，熟悉测试流程2、能够独立完成测试用例设计、执行，有较强的bug定位能力3、熟悉数据库常用sql查语句，在测试工作中有数据库应用经验4、熟悉linux系统及常用的linux命令5、熟练使用postman、soapUI等测试工具，有接口测试经验6、能够承受一定的工作压力，做事积极主动 7、有视频编辑平台、APP相关测试经验优先。注意：不招实习生，工作经验需2年以上(不含实习时间）。,"数据服务,文娱丨内容",150-500人,测试,成都
测试工程师,https://www.lagou.com/jobs/6593586.html,高新区,4k-7k,四川众鹏科技有限公司,1-3年,本科,"六险一金,年底双薪,年度体检,节日福利",岗位职责：1、接受测试任务，进行需求分析；2、按照测试计划搭建测试环境，并保证测试环境的可靠性；3、按照测试计划编写测试用例，保证测试用例合理有效；4、按照测试用例执行测试，及时发现缺陷，并使用工具进行管理缺陷；5、编写和提交测试报告，保证测试进度按计划完成；6、参与审核其他测试工程师的测试用例和报告；岗位要求：1、统招正规大学本科以上计算机相关及相关专业；2、1年以上测试经验；3、熟练操作linux和windows操作系统，熟悉 Shell编程；4、熟悉常用的Test工具和bug tracking 工具；5、熟悉常用大型数据库如Oracle/Sybase的使用及安装；6、良好的文档书写能力；7、有自动化测试经验优先；,"移动互联网,消费生活",15-50人,测试,成都
Game QA_游戏测试,https://www.lagou.com/jobs/4855040.html,青羊区,3k-5k,上海维塔士电脑软件有限公司,不限,本科,"AAA项目,主机游戏,游戏测试,晋升空间","工作职责： 
 检测以及记录软件错误，能在软件发售版本之前严格按照测试计划进行测试; 
 将已查出的相关软件错误提交到在线bug跟踪数据库;
 服从质量监控组长的监督和管理;
 职位要求： 
 对各种类游戏及游戏平台(如：手机游戏、电视游戏、电脑游戏)都抱有强烈兴趣的狂热玩家; 
 有用英语汇报BUG的能力;
 优秀的组织能力 ;
 有对于细节强烈关注的能力; 
 有能力与各层次的公司职员交流，并且能在无人监督的情况
 下独立完成工作; 
 能在压力下工作;
本科学历;
 通过大学英语4级考试;
 有如下经验者优先录取： 
 曾有过相关测试经验(手机、电视、电脑游戏); 资深游戏玩家.
 请提供中英文双语简历
 请在简历上写上玩过的游戏以及对应的游戏平台
 Responsibilities: 
 To execute test plans on pre-release versions of software to detect and record product bugs. 
 To report bugs on an online bug tracking database. 
 To be under the supervision of a QA Team Leader. 
 Qualifications: 
 Avid gamer interested in a variety of game types and platforms (mobile, console, PC). 
 Ability to report bugs in English.
 Excellent organizational skills. 
 Sharp attention to detail. 
 Communicate with all levels of staff, and work somewhat independently, with minimal supervision. 
 Ability to work under pressure. 
 Bachelor degree. 
 CET-4.
Extras: 
 Previous testing experience in console, PC or mobile game testing. 
 Hardcore gamer. 
 Please provide your resume in both English and Chinese.Please tell us what kind of games you have played and also what platform on your resume.",游戏,500-2000人,测试,成都
测试工程师,https://www.lagou.com/jobs/2581621.html,武侯区,6k-9k,成都顶呱呱投资集团有限公司,3-5年,大专,"发展平台,产品线丰富,双休",岗位职责:1、负责构建测试环境，产品的功能测试、集成测试和界面测试，准确地定位并跟踪问题，推动问题及时合理地解决。 2、建立并完善测试流程，编写测试计划，测试用例，完成测试报告；3、能够制定测试计划、编写测试用例；4、负责独立完成对项目的单元测试、功能测试、自动化软件测试、熟练使用性能/接口测试工具jmeter；5、根据软件设计需求制定测试计划，设计测试数据和测试用例；6、参与测试设计，执行软件的测试，进行问题记录和分析，给出问题报告；7、有会计行业相关测试项目经验者优先；岗位要求：1、计算机软件相关专业大专及以上学历；2、2年以上软件测试工作经验，会基本的数据库及Linux操作；3、熟悉软件测试理论、测试流程，能够编写测试计划以及制定测试用例；4、熟练应用各种测试工具，对于业内通用的测试自动化工具或平台有实际实践经验积累者优先考虑；5、热爱测试工作并具有高度的工作热情和敬业精神，具有良好的沟通交流、团队合作、抗压能力。福利待遇：免费工作餐、社会保险、双休+法定节假日、节假日福利（礼品/礼金）、年假、员工游泳健身俱乐部、爱心基金、月度奖金、利润分红、出国旅游、部门活动经费顶呱呱投资集团技术中心服务于本集团业务互联网化推广及企业内部信息化平台开发，非对外承接企业服务项目。,金融,2000人以上,测试,成都
测试工程师,https://www.lagou.com/jobs/7024655.html,高新区,5k-10k,新蛋科技（成都）有限公司,1-3年,本科,知名美国电商 十三薪+绩效分红,"岗位职责：1. 参与需求分析与确定，并依据需求文档及设计文档，编写测试用例；2. 完成产品的集成测试与系统测试；3. 完成手工测试及自动化测试，并分析及记录Bug；4. 完成测试报告，及项目验收；任职要求：1. 本科及以上,计算机相关专业;具备1年以上测试工作经验；2. 对于负责领域和产品涉及的核心技术和理论知识，均有充分理解和掌握，有能力识别其优势和问题的能力；3. 掌握核心测试方法论，能够较好的采用更加高效的手段，实践这些方法论；4. 能对Web和API进行有效测试；5. 熟悉SQL Server，可以使用SQL语句辅助测试；6. 具备良好的业务分析及理解能力，具有明锐的洞察力，较强的用户体验意识；7. 熟悉一门编程语言优先；8. 有自动化测试，安全测试或性能测试经验者优先；9. 有良好的团队沟通合作精神，诚实、正直、客观，有积极的工作态度，能做到主动思考；10.有高度的责任意识；",电商,500-2000人,测试,成都
测试工程师,https://www.lagou.com/jobs/7066370.html,高新区,8k-10k,成都四象联创科技有限公司,5-10年,本科,发展前景,1、负责软件质量管理、软件测试相关制度的建立、实施与维护；   2、负责相关平台的品控管理和测试的全流程管理，保证软件质量；   3、执行过程审核、产品审计，跟踪协调不合格项整改，确保公司规范流程和方法得到落实；  4、与协作部门或人员进行沟通，确保产品概念被充分理解，确保产品开发、上线及内外部实施推广的完成；  5、负责建立软件开发评价指标，并按计划收集分析度量数据，进行产品、标准与流程的改善；   6、建立软件开发过程中相关业务的验收标准；   7、结合敏捷开发需求，快速推动软件开发过程中问题的分析与处理；  8、参与公司质量体系建设、持续改进；   9、完成领导交办的其他工作。   温馨提示：工作地点在财智中心2栋A座5楼，介意者谨慎投递。,"移动互联网,金融",50-150人,测试,成都
测试工程师,https://www.lagou.com/jobs/1533879.html,高新区,11k-18k,北京世联互动网络有限公司成都分公司,3-5年,本科,技术氛围浓厚，薪资福利优厚，公积金12%,【岗位职责】• 负责部门产品的测试方案，测试用例，测试执行；• 参与项目评审，与项目组深入沟通，进行测试需求分析；• 负责项目的性能测试，压力测试；• 主导部门业务的测试自动化实现，实现持续集成；• 负责测试工具研发和二次开发，提高测试效率。【岗位要求】• 计算机及其相关专业，本科学历及以上，三年以上测试工作经验；• 熟练掌握Java/Python/Shell等至少一种语言；• 精通软件测试理论、方法和过程，掌握多种自动化测试技术，熟练使用  Selenium等工具；• 有良好的沟通能力，与相关人员密切合作，保证项目的顺利推进。,"移动互联网,社交",2000人以上,测试,成都
测试工程师,https://www.lagou.com/jobs/6708455.html,高新区,15k-30k,微梦创科网络科技（中国）有限公司,3-5年,本科,重点业务、绩效奖金、各种福利,岗位职责：1、服务器及手机客户端软件测试；2、分析需求，编写测试计划，编写执行测试用例；3、发现并提交缺陷，进行跟踪，提交反馈；4、对服务器的性能和安全做监控；5、把控产品质量，过程监督；6、总结项目测试报告和质量报告。任职资格：1、本科及以上学历，计算机相关专业，工作满1年，专科工作满4年； 2、对项目质量控制有较好的理解和经历； 3、能独立编写测试计划、用例及执行测试任务；4、熟悉一种抓包工具，了解http/https协议；5、熟悉接口测试工具，使用Jmeter进行接口性能测试，有性能测试经验优先；6、有一定的代码能力，有自动化测试工作经验优先；7、有良好的沟通、协作能力，具有高度的责任心，强烈质量意识和团队合作精神。,文娱丨内容,2000人以上,测试,成都
测试工程师,https://www.lagou.com/jobs/6305882.html,高新区,8k-16k,成都奇鲁科技有限公司,3-5年,本科,"六险一金,节日福利,绩效奖金,年终奖",岗位职责：1、负责安卓产品的测试工作，搭建维护测试环境，制定测试方案，计划并实施，保证项目质量和进度；2、设计与执行测试用例，跟踪定位产品软件中的缺陷或问题3、参与产品需求、UI设计的评审工作，并提出改进意见。岗位要求：1、熟悉白盒、黑盒等软件测试理论和方法，熟悉移动互联网行业测试环境及相关技术；2、熟悉java/python或脚本语言如shell 等，熟悉数据库操作；熟练使用adb各种命令；3、本科及以上学历，2年以上移动测试经验，知识扩展性强；熟悉各种ROM和ROOT权限操作；4、学习能力强，有一定的抗压能力；有创业激情。另本岗位现只接受现场面试，不接受远程电话或视频面试。,移动互联网,150-500人,测试,成都
测试工程师,https://www.lagou.com/jobs/6021306.html,高新区,9k-15k,北京世联互动网络有限公司成都分公司,1-3年,本科,没有加班文化，公积金12%，技术氛围浓,【岗位职责】：• 参与部门产品的测试方案和测试用例设计，进行有效WEB GUI测试；• 参与项目组沟通，提出合理建议协助软件开发活动。【岗位要求】：• 统招本科及以上学历， 1年及以上测试经验；• 了解Java/Python/Shell等至少一种语言；• 了解软件测试理论、方法和过程，以及自动化测试技术，掌握JMeter等工具的使用；• 有良好的沟通能力，愿意与相关人员密切合作，顺利推进项目进展；• 渴望通过学习，能主动进行软件QA活动提升软件产品品质。,"移动互联网,社交",2000人以上,测试,成都
测试工程师,https://www.lagou.com/jobs/7152171.html,高新区,5k-10k,成都卓杭网络科技股份有限公司,1-3年,本科,六险一金 年度旅游 超nice氛围,"岗位职责：1.参与产品测试的全流程，包括参与需求分析、设计评审，制定测试计划，设计和执行测试用例，进行缺陷跟踪和软件质量分析等； 2.进行自动化测试工具/框架开发，自动化测试用例设计、执行，自动构建测试环境，持续集成等；3.保证被测系统的质量，并通过测试流程和方法创新，努力提升研发的质量和效率。任职要求：1、2年以上的测试工作经验；2、能够独立撰写测试用例，并完成测试任务；3、熟悉游戏测试理论和测试方法，及相关工具；4、精通测试流程和测试用例设计方法,掌握UI自动化测试，接口测试，能主动进行技术钻研； 5、解决复杂问题和编写自动测试工具和系统的能力；6、工作细致认真，有耐心，主观能动性强；7、优先项：完整的项目经验，会使用python语言，了解数据库基础知识。","移动互联网,游戏",150-500人,测试,成都
测试工程师,https://www.lagou.com/jobs/6551108.html,武侯区,11k-22k,成都艾乐橙文化传播有限公司,3-5年,本科,年终福利 、带薪寒暑假期（7-15天）,一、我们需要您：1. 参与项目研发的全流程，包括需求分析、设计评审，制定测试计划并评估风险2. 执行项目测试，包括构建测试环境，设计和执行测试用例，进行缺陷跟踪和软件质量分析等3. 对测试结果进行分析、反馈，负责对测试问题进行跟踪及回归4. 与项目组成员进行积极有效沟通，推动问题解决二、我们期待这样的您：1. 计算机或相关专业毕业，有扎实的计算机基础知识2. 2年以上相关研发经验者优先3. 熟悉软件工程和测试流程，掌握功能测试、自动化测试，了解性能测试，熟练使用一至两种主流测试工具4. 了解mysql等主流数据库，熟练使用sql语句5. 熟悉java 等编程语言6. 能够独立完成测试任务，并协助开发定位问题7. 良好责任心和逻辑性，团队合作精神，能够在压力下保持良好的工作状态8. 良好的沟通能力，能够与开发保持顺畅的沟通三、我们能给您的：1.乐享假期：带薪寒暑假（7-15天），惊不惊喜，意不意外，是的，我们有寒暑假2.公司平台：已获得三轮一线资本融资，素质教育准独角兽创业公司3.工作氛围：友爱活泼的年轻群体，多才多艺的萝莉御姐鲜肉，帅哥多多，美女多多4.日常福利：超多节假日小礼品5.日常活动：定期的团队建设、年度出游、读书会等6.内部福利：学舞蹈（街舞、中国舞等）更轻松，亲朋好友优惠多多,"教育,文娱丨内容",500-2000人,测试,成都
测试工程师,https://www.lagou.com/jobs/6670118.html,高新区,5k-10k,四川云思智科技有限公司,3-5年,大专,福利优、待遇高、发展空间大,一、要求：1.适应出差，工作地点南充，南充本地或者周边城市优先；2.普通高等院校全日制专科及以上学历。二、专业技能：1、熟悉掌握界面测试、功能测试、性能测试等流程、方法和规范，能够独立编写测试计划和测试用例。2、掌握常用的软件测试工具，熟悉软件开发流程、测试流程。3、有良好的沟通能力、有强烈的责任心；4、具备良好的团队合作精神，能够承受一定的工作压力。,"教育,软件开发",15-50人,测试,成都
测试工程师,https://www.lagou.com/jobs/6680756.html,高新区,6k-10k,新疆维吾尔自治区广播电视研究所,1-3年,本科,五险一金 周末双休 地铁周边 扁平化管理,岗位职责：1、熟悉软件测试流程，根据需求设计测试计划、测试用例及测试报告；2、对现有移动APP、Web、大数据、游戏产品进行测试；3、实施软件测试，记录并协助定位缺陷，跟踪缺陷并完成回归测试；4、能够独立完成软件的功能测试、性能测试、压力测试、稳定性测试；5、总结测试过程，编写测试报告，及时反馈测试结果；6、参与问题的分析和讨论，参与相关质量评估，确保设计及实现的正确性；任职要求：1、计算机软件相关专业本科及以上学历；2、2年以上软件测试工作经验；3、掌握黑盒用例设计方法；4、能进行需求、设计跟踪、评审、梳理和归纳总结，能把握测试重点和测试进度、风险管理；5、熟练使用用例管理软件（如TESTLINK）；6、熟练使用缺陷管理跟踪软件和WIKI；7、良好的沟通表达（口头及书面）和文档交付能力。,其他,150-500人,测试,成都
测试工程师,https://www.lagou.com/jobs/7043263.html,高新区,9k-15k,深圳三代人科技有限公司,3-5年,本科,"大牛领导,成长空间大,福利好,年底双薪","岗位职责:1. 参与软件项目的需求分析，关注项目需求的合理性，可测性2. 参与产品需求和架构设计评审，保证产品设计与架构的合理性3. 设计合理的测试用例，测试计划，并能参与到具体的测试执行工作中，跟进缺陷的fix、质量复核，能引入比较好的思想和方法，保证产品的质量4. 参与自动化用例的编写，参与产品的性能/自动化测试5. 通过测试相关流程、策略、方法和工具等创新，提升测试的质量和效率任职要求:1. 具有3年以上测试经验，熟悉测试用例设计方法及常见自动化测试技术，独立承担过完整项目测试负责人2.熟悉Linux或Unix操作系统，具备测试环境的维护和部署能力,能熟练运用SQL3.熟悉java/python/php等至少一种编程语言，有shell、Ruby等使用经验优先4.能练运用Jmeter或LoadRunner，能独立完成产品性能测试工作5.在某一测试领域比如性能、安全、自动化、移动端、持续集成领域等有实践经验者优先6.性格开朗乐观，责任心强，工作积极主动，具备良好的沟通能力和团队协作能力7.有较强的逻辑思维和解决问题能力，能主动进行技术钻研","移动互联网,医疗丨健康",150-500人,测试,成都
测试工程师,https://www.lagou.com/jobs/7049517.html,锦江区,4k-8k,成都市昊万通电子科技有限公司,不限,不限,上手快，绩效高,"岗位职责：1、负责移动通信网络的测试和网络优化；2、较强的逻辑分析和独立解决问题能力；3、富有团队精神,沟通能力和责任感。任职要求：1、通信、计算机、电子信息工程等专业应届毕业生；2、对移动通信原理有较强的兴趣可将学历放宽到中专、高中学历；3、年龄在18-31岁；4、具有移动通信行业实习经验优先；5、面向4G（LTE）网络优化，测试，分析等。福利待遇1、基本薪资+项目补贴转正之后五险一金2、工作时间：早9:00——晚18:00 周末双休","企业服务,通讯电子",150-500人,测试,成都
测试工程师,https://www.lagou.com/jobs/7127288.html,郫县,10k-15k,易宝软件科技（南京）有限公司,1-3年,本科,五险一金 周末双休 弹性工作,1、基础技能：   1)2年以上测试经验，有性能测试经验，熟悉测试理论与方法，熟悉Linux基本操作，有自动化测试能力；   2）熟悉常见关系型数据库，SQL熟练，有存储过程读写能力优先，有数据库接口开发测试经验优先；2、能力经验（至少满足1项）：   1）了解华为云、AI等相关产品，有相关测试与应用经验优先；   2）有解决方案测试经验优先，能够完成用例编写、问题跟踪定位；   3）有政府、运营商、金融、大企业、医疗、交通、安平等行业应用方案的开发、测试经验优先；3、良好的沟通能力和团队协作精神，严谨的工作态度与良好的质量意识。,移动互联网,150-500人,测试,成都
测试工程师,https://www.lagou.com/jobs/6968286.html,高新区,7k-11k,成都精灵云科技有限公司,1-3年,本科,五险一金、试用期全薪、十三薪、年终奖、,"岗位职责:1.完成研发部门的测试任务，指导、跟踪、控制项目测试过程；2.与开发人员紧密合作，反馈、跟踪测试结果中存在的问题及用例缺陷，提出个人建议；任职资格:1.本科及以上学历，计算机相关专业，1年以上相关工作经验；2.了解Python, 熟悉常用的测试工具和缺陷管理工具, 具备测试脚本编写能力；3.熟悉软件测试流程, 对功能测试, 集成测试和系统测试有一定的经验，且熟悉常用测试方法及技巧；4.较强的产品和业务理解能力；5.熟悉MySql, 可以使用基本的sql语句辅助测试，熟悉Linux；6.优秀的学习能力，热爱技术，善于分析和解决问题。",移动互联网,50-150人,测试,成都
测试工程师,https://www.lagou.com/jobs/6799887.html,高新区,12k-20k,北京瑞友科技股份有限公司,5-10年,本科,平台好,"职位要求：英文口语熟练Analyzing      users stories and/use cases/requirements for validity and feasibilityDesigning      test approaches and optimizing test execution across functional and      non-functional coverageBuilding      scripts and tools to implement and continuously improve test outcomesExecute all      levels of testing (System, Integration, and Regression, Performance      test is a plus)Design and      develop automation scripts when neededDetect and track      software defects and inconsistenciesProvide timely      solutionsApply quality      engineering principals throughout the Agile product lifecycleProvide support      and documentation·      ·       =========================================================================================================================           Skill and knowledge:Proven      analytical capabilities to evaluate test resultsProven      ability to respond to change quickly, including changing, adding, or      improving test casesAn      eye for detail, able to identify risks and issues sooner rather than later      and not afraid to call them outA      resilient personality and comfortable with change to be able to overcome      setbacks as they occurPragmatic      problem solving skills, with a collaborative working styleProficiency      in driving white box testing approachesAbility      to prove the quality of the solution through adequate and fit for purpose      test coverageAbility      to take a Risk Analysis approach to testingA      quality mindset, to ensure testing occurs early and oftenAbility to contribute and / or support analysis and design      activities (for example contribute to acceptance criteria of user stories,      participate in design discussions)Well      versed with test automation approaches and experience with various toolsFamiliar      with Python/Java, Linux. Have knowledge about Java is a plusHave      experience to use Junit, have experience to do performance testing, Jmeter      is a plusFamiliar      with UI automation testing tools such as Robot Framework, Selenium. Have      experience with Katalon is a plusBe      able to use Jenkins/Bamboo to build CI/CD process, familiar with Docker.      Have basic cloud knowledge(AWS/GCP) is a plusGood understanding and experience working in Scaled      Agile(NWOW) operation model is a plus",电商,2000人以上,测试,成都
测试工程师,https://www.lagou.com/jobs/7193022.html,青羊区,5k-10k,成都众望智慧科技有限公司,1-3年,本科,双休，五险一金，半天带薪事假，生日福利等,岗位职责：1.负责软件产品测试工作，包括web、app、h5，小程序等；2.与产品团队、开发团队沟通，详细、深入的了解各软件系统，编写的测试用例；3.制定测试计划，执行具体测试任务，提交并跟进bug闭环，完成测试报告；4.项目各环节中的测试交付文档编写和审核，研究和引入新的测试方法和测试技术，实现用例的自动化测试，提升质量和效率；5.领导交办的其他任务。任职要求:1.本科以上学历，2年以上测试经验；2..熟悉软件测试流程和方法，有丰富的用例设计经验；3.熟悉自动化工具，比如fiddler，charles，postman，loudRunner、JMeter，有搭建性能测试自动化平台经验者优先；4.具备良好的退队合作精神，乐于分享，具备良好的沟通能力和抗压能力，能有效推动工作开展及问题闭环。,"移动互联网,企业服务",15-50人,测试,成都
测试工程师,https://www.lagou.com/jobs/7148590.html,成华区,8k-13k,北京众信佳科技发展有限公司成都分公司,3-5年,大专,965、非外包、入职五险一金,岗位职责：1、独立负责公司产品服务端、APP端、web端、PC端测试工作；2.根据需求文档进行需求分析、测试方案设计、测试用例设计、测试执行及质量评估；3.进行产品的功能测试、兼容性测试、安全测试、性能测试； 4.负责测试环境搭建部署及管理工作；5.参与现有测试流程、测试方法的优化完善；任职要求：1.大专以上学历，计算机相关专业，3年及以上软件测试经验；2.扎实的测试知识和实战经验，可独立的进行需求分析、测试策略/方案设计、测试用例设计、测试执行、缺陷提交/分析/跟踪、报告编写等；3.熟练使用python语言；4.熟悉至少一种接口自动化框架；5.熟练使用linux，有定位解决服务器常见问题的能力；熟悉基本的sql数据库操作；6.有性能测试、安全测试经验优先,人工智能,500-2000人,测试,成都
测试工程师,https://www.lagou.com/jobs/6797539.html,武侯区,8k-12k,厦门科拓通讯技术股份有限公司,3-5年,本科,独立团队 双休弹性上下班 不定时腐败,"岗位描述：1、参与软件项目的需求分析，独立完成产品需求测试（BI工具/接口/数据处理方向），关注项目需求的可测性，并能预先评估项目的风险；2、根据测试计划搭建和维护测试环境或开发测试用例/自动化脚本；3、对测试中发现的问题进行详细分析和准确定位，与开发人员讨论缺陷解决方案；4、对测试结果进行总结与分析；5、能够快速地反映问题，描述问题，并能对项目提出合理化建议。任职要求：1. 至少3年以上相关工作经验;2. 熟悉Linux系统命令,熟悉python/JAVA等语言;（熟悉 python unittest框架加分）3. 熟练使用SQL，具备相关测试经验;（了解常见数据库性能优化方法加分）4. 熟练使用测试工具（如：Testlink、Redmine、QC、LoadRunner、JMeter、WinRunner等）;5. 熟悉/了解测试基本理论、包括黑盒、白盒测试技术，熟悉/了解功能测试和性能测试方法;6. 具备自动化测试，接口测试经验;7. 熟悉TCP/IP协议、http协议;8. 责任心强，积极主动，热爱学习，有良好的沟通能力和团队合作能力。","硬件,企业服务",500-2000人,测试,成都
软件测试工程师,https://www.lagou.com/jobs/7203902.html,武侯区,7k-12k,深圳市汇合发展有限公司,1-3年,本科,5天工作制 年终奖 六险一金 项目稳定,目前测试方向为功能+自动化（开发测试）方向，没有任何出差，长期稳定的项目和平台。所有项目组都会做自动化测试，因而有自动化测试、金融银行项目、性能测试、Java（C）等语言开发或理解能力者优先考虑。也可考虑19届毕业生。一、岗位职责：负责银行产品ST端系统测试或UAT端验收测试工作。任职资格：1、学历背景：本科以上学历；2、专业技能：计算机相关专业，（偏理科类也可以，例如:电子、自动化、数学、物理、统计），接受开发转测试人员；3、具有较好的学习能力、逻辑能力、沟通表达能力；4、有自动化测试经验或有脚本编写能力，有银行测试经验优先；5、能适应加班（每周至少2次加班）；福利介绍：1、入职购买六险一金（公司全额购买商业险可用于门诊医疗报销），免费的上下班班车接送；2、1-2个月年终奖金，根据入职时间来计算（多数员工可拿到超过一个月薪资年终奖）；3、转正员工每季度享有600元额外季度奖金；节假日：端午，中秋，春节，年后开工利是分别有300元现金福利；4、入职满一年可享有5天带薪年假；法定节假日放假安排；5、入职满一年有2次调薪调级别机会（4，10月）；工作表现优异者有机会转为总行内部员工；6、团队每月1-2次下午茶活动，每年公司会组织一次外出团建旅游活动；7、办公环境优良，加班有加班费（全额工资为计算基数，加班不超过晚上10点，平日加班为时薪1.5倍，周末加班为日薪2倍，周末加班也可优先选择调休，管理人性化）。,"企业服务,金融",2000人以上,测试,成都
测试工程师,https://www.lagou.com/jobs/6611770.html,高新区,8k-12k,深圳市汇合发展有限公司,3-5年,本科,五险一金 下午茶 年终奖 加班费,一、（首要/硬性条件：全日制统招本科及以上学历，学信网必须可查；不接受自考或专升本学历！）目前测试方向为功能+自动化（开发测试）方向，没有任何出差，长期稳定的项目和平台。招行所有项目组都会做自动化测试，因而有自动化测试、金融银行项目、性能测试、Java（C）等语言开发或理解能力者优先考虑。深圳市汇合发展有限公司：https://www.szhuihe.com/二、招行项目优势：1、试用、转正同薪100%+开门红+年终奖+入职购买商业保险+入职购买五险一金；2、入职满一年有2次调薪调级机会（4月、10月）；3、项目稳定、团队稳定性高，团队氛围非常好（汇合员工占招行总员工比例接近50%）；4、团队每月有自己的活动经费，法定节假日放假安排；5、上班时间：5天7小时，8:30-12:00，14:00-17:30。岗位职责：负责银行产品ST端系统测试或UAT端验收测试工作。任职资格：1、学历背景：本科以上学历；2、专业技能：计算机相关专业，接受开发转测试人员；3、三年以上测试相关工作经验；4、具有较好的学习能力、逻辑能力、沟通表达能力；5、有自动化测试经验或有脚本编写能力，有银行测试经验优先；6、能适应加班（每周至少2次加班）；推荐招行简历需要按照招行内部模板整理，所以需要求职者提供毕业证编号（验证学信网学历）+身份证号码（验证个人信息），不愿提供者勿扰！,"企业服务,金融",2000人以上,测试,成都
