job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级JAVA开发工程师,https://www.lagou.com/jobs/7107614.html,铁西区,10k-12k,彩讯科技股份有限公司,5-10年,本科,五险一金；年度旅游；司龄津贴,岗位职责：1、负责集团移动办公平台项目的平台开发工作；2、负责项目核心技术框架设计和实现，基础组件建设，核心系统高可用能力建设。能够独立完成较复杂的系统分析、设计，并主导完成详细设计和编码的任务，确保项目的进度和质量；3、能够在团队中完成code review的任务，确保相关代码的有效性和正确性，并推进业务难题攻关和系统优化；4、参与建设通用、灵活、智能的业务支撑平台，支撑上层多场景的复杂业务。任职资格：1、本科及以上学历，5年以上JAVA服务端开发工作经验，具备线上应用系统开发实践经验，JAVA基础扎实，熟悉IO、多线程、JVM、集合等基础框架；2、精通框架模式，IOC、AOP、MVC等框架原理及实现；3、深入理解Spring Boot、dubbo、netty等框架的设计思想和实现方式，精通分布式、多线程等高性能框架相关开发技术；4、熟悉Oracle、MySQL或Mongodb等主流数据库设计和开发，熟悉Redis、Hbase等NOSQL的设计和开发；5、熟悉微服务架构，对高性能、持续可用架构的最佳实践以及设计原则有深刻理解，具备一定大流量服务设计经验；6、具有独立完成原型开发和技术文档编写的能力；7、具备优秀的逻辑思考能力，善于解决和分析问题，乐于分享，良好的协作意识和团队精神。,"移动互联网,消费生活",500-2000人,java,沈阳
java,https://www.lagou.com/jobs/7121522.html,浑南区,8k-15k,东华软件股份公司,3-5年,不限,上市公司、五险一金、年终奖、弹性工作制,工作职责:1、根据公司战略发展目标和业务发展需要，负责完成编码、代码检查及优化、BUG修改等工作，确保公司各产品方案的实现和持续优化。2、根据测试与运维的同事的问题反馈，进行线上问题排查与修复，确保公司产品的不断完善。任职资格:1、具有实际项目开发经验，3年以上Java开发经验；2、熟悉分布式项目开发，熟悉软件开发流程，对常见的web业务场景有一定的了解； 3、具备扎实的Java基础，掌握MVC分层架构思想及常用服务端开发框架；4、熟悉Oracle，Mysql等常用关系型数据库，对SQL具有一定的调优意识与能力，熟悉Linux环境及常用命令；5、熟练使用Maven等项目构建工具，熟悉Git、SVN等版本管理工具；6、熟悉Redis等缓存中间件，熟悉常用消息队列（RabbitMQ、Kafka等）；7、具有强烈的工作责任心和Deadline意识，良好的工作积极性和主动性以及沟通、组织、协调和表达能力。8、有征信实施、反洗钱、监管报送、1104项目经验或SpringCloud等相关框架开发经验优先；9、能接受出差。,"企业服务,数据服务",2000人以上,java,沈阳
java开发工程师,https://www.lagou.com/jobs/7143623.html,皇姑区,6k-9k,北京开科唯识技术有限公司,1-3年,本科,"五险一金,晋升空间,金融项目,技术氛围好",主要职责：1、具备作为主力参与新项目的架构设计、概要设计、详细设计、编码实施、测试和文档编写的能力；2、根据项目小组总体计划要求，制定功能模块开发计划，负责完成分配的开发任务，并通过自测验证；3、配合测试人员的验证测试，完成相关文档的编写工作；4、根据项目小组总体计划要求，完成项目其它相关任务；岗位要求：1、本科及以上学历，计算机相关专业优先；2、1-3年Java后台软件开发和项目实施经验，有金融银行背景的优先；3、熟悉Springboot/Spring/SpringMVC等服务端开发框架，并有实际项目开发经验；4、熟悉jsp、Javascript、HTML、CSS前端开发，并有实际项目开发经验；5、熟悉SQL，熟悉Orcale、DB2、SQLSERVER、Mysql数据库应用开发中至少一个；6、熟悉Weblogic、Websphere、Tomcat、Jboss等J2EE应用服务器中至少一个；7、熟悉Eclipse开发工具；8、有linux/Unix操作系统下开发经验者优先；9、具有良好的沟通能力、团队合作精神和职业稳定性，工作积极主动、服从安排，能承受较大压力，责任心和学习能力强。,金融,500-2000人,java,沈阳
java开发工程师,https://www.lagou.com/jobs/7178108.html,沈河区,4k-8k,北京利物融通信息技术有限公司,1-3年,本科,五险一金双休法定体检生日礼团建零食咖啡,岗位职责：1.根据系统设计规范和约束文档，结合业务需求独立完成业务功能模块的接口规划、设计及功能实现。2.独立完成后台java代码开发及单元测试，配合测试人员修改BUG，针对功能模块业务特点可优化及提升相应速度。3.解决系统实施中遇到的相关业务和技术问题，保证项目的进度与质量。4.具有较强的责任心、良好的语言表达能力、沟通能力、协调能力、踏实、有上进心。 任职要求：1.计算机及相关专业毕业，专科以上学历。2.有2年以上J2EE接口设计与功能开发经验。3. 精通或熟悉  es6、css预处理、jQuery、easyUI、vue、lodash、element ui 、webpack ，linux常用命令 中至少5项Web前端技术及相关开发经验。,企业服务,500-2000人,java,沈阳
Java开发工程师（交付四部）,https://www.lagou.com/jobs/2316817.html,和平区,6k-8k,北大医疗信息技术有限公司,1-3年,本科,五险一金；定期体检；弹性工作；餐补,"岗位职责：1、负责软件项目的设计与开发，独立完成核心模块的设计、编码及相关文档工作；2、负责系统后台数据库性能调优及数据安全工作；3、参与产品架构设计和搭建。任职要求：1、 本科及以上学历，计算机及其相关专业；2、 至少有3年以上Java深层次开发经验，具备深厚的Java功底，熟悉HTTP协议，熟悉JSP、Servlet、HTML、XML、JSon、AJAX、JS等技术；3、 熟悉B/S开发模式，有B/S系统架构能力，熟练掌握主流开发框架Spring、Hibernate、Struts2/ Struts1等；4、 熟悉SQL语言及至少一种大型数据库使用配置，熟悉至少一种持久化技术（Hibernate、MyIbatis等），熟悉tomcat服务器优先；熟练使用Eclipse等开发工具；5、 熟悉常用应用服务器如: Apache、Tomcat等的使用及相关开发配置，了解Linux系统常用操作命令；6、 具有大型应用系统分析、设计能力和经验，精通主流技术系统的核心思想，有医院HIS,LIS,PACS等开发经验者优先；7、 思维敏捷，具有发散性，良好的逻辑分析能力及问题解决能力；8、 良好的跨部门沟通及组织能力，积极发扬团队合作精神。",医疗丨健康,500-2000人,java,沈阳
java开发工程师,https://www.lagou.com/jobs/6929324.html,皇姑区,5k-8k,沈阳晓天科技有限公司,1-3年,大专,五险一金 周末双休 十三薪,职位描述：1、按照工作计划和进度完成开发任务，保证开发质量；2、能理解业务逻辑，对业务模型进行设计，编写出规范的设计文档；3、沟通需求并解决开发中遇到的相关问题。 岗位职责： 1、对项目经理负责，完成分配项目的详细设计、编码、内部测试工作；2、参与需求调研、项目可行性分析、技术可行性分析和需求分析；3、熟练掌握公司交付给企业的软件项目的相关软件技术；4、向项目经理及时反馈软件开发中的情况，并根据实际情况提出改进建议；5、参与售后维护过程中技术问题的解决。  任职要求： 1、熟练掌握Java编程语言和面向对象的软件设计方法；2、具备基本的数据库增删改查技能，掌握SQL Server的使用；3、掌握HTML，CSS和Javascript，具备网页制作的基本技能；4、了解Spring MVC或Spring Boot等Web开发框架；5、年龄不限，性别不限，大专以上学历且至少具备1年的企业相关工作经历；6、工作细致、敬业，责任心强；,"数据服务,软件开发",50-150人,java,沈阳
java开发工程师,https://www.lagou.com/jobs/7149125.html,浑南区,10k-15k,辽宁津港科技有限公司,5-10年,不限,发展前景,岗位职责1、 参与系统的需求调研和需求分析，撰写相关技术文档2、 搭建系统开发环境，完成系统框架和核心代码的实现；3、 项目概要设计、详细设计、开发计划等的编制并实施；4、 系统开发测试、部署和集成；5、 负责解决开发过程中的技术问题；6、 参与代码维护与备份；任职资格1.计算机类或相关专业，本科以上学历，5年以上JAVA程序开发经验，熟悉软件系统的开发流程；2.精通SPRING MVC、SPRING BOOT等技术框架3.熟悉Redis、MQ、文件存储、 Restful API、WebService、分布式多线程等相关开发技术；4.精通oracle或MySQL数据库，有数据库SQL调优经验者优先；5.了解 Bootstrap/Vue等前端技术框架；6.具有SPRING CLOUD微服务项目研发经验者优先； 7.熟悉TCP/IP协议，有自定协议传输研发经验者优先8.熟悉软件技术文档的编写；具备良好的文档编制习惯和代码书写规范；9.思路清晰，善于思考，能独立分析和解决问题；10.责任心强，具备良好的团队合作精神和承受压力的能力；有大数据开发经验优先录取,数据服务,少于15人,java,沈阳
中高级java开发工程师,https://www.lagou.com/jobs/7192171.html,浑南区,7k-12k,北京直真科技股份有限公司,3-5年,本科,五险一金，双休，带薪年休假，定期体检,岗位职责1、 负责软件产品模块设计及相关文档编写，负责代码编写和测试；2、 负责软件产品组件开发和封装，编写使用文档；3、 参与软件产品或组件运行故障的分析定位。任职要求1、 软件工程/计算机等相关专业毕业，学士及以上学位，英语水平良好；2、 3年（含）以上工作经验，有电信行业OSS类软件经验者优先；3、 精通Java语言，了解Java设计模式，熟悉基于Java 的B/S系统架构前后台功能设计开发；4、 熟悉WebSphere/WebLogic /JBoss/Tomcat等主流应用服务器；5、 熟悉XML/Jason等通用格式的文本处理；6、 有团队合作精神，工作责任心强。,软件开发,500-2000人,java,沈阳
资深Java开发工程师,https://www.lagou.com/jobs/6653021.html,铁西区,10k-17k,华晨宝马汽车有限公司,3-5年,本科,15薪,"工作描述：负责智能物流、生产、HR、财务等数字化平台的IT系统开发及解决方案设计。岗位职责：1、计算机相关专业，3年以上java或者.net开发经验；2、对基础技术如JVM,多线程并发,IO,网络有一定的掌握；3、熟悉Java Web开发的框架和库，如Spring MVC,Spring Boot,Spring Cloud,MyBatis；4、对前端开发也有一定了解，熟悉JavaScript,HTML,CSS等web前端技术，对vue和angular等前端框架有一定了解；5、至少熟悉一种数据库；6、参与过敏捷开发项目；7、良好的英文沟通能力；",汽车丨出行,2000人以上,java,沈阳
java项目开发工程师,https://www.lagou.com/jobs/7207464.html,和平区,7k-10k,上海泛微网络科技股份有限公司,1-3年,本科,五险一金 年假 团建,"岗位职责：1、负责公司产品的项目定制化二次开发工作；2、负责所属模块的代码开发、调试与维护工作；3、积极响应客户需求并进行开发/定制化开发和交付；4、协助并完成其他各类技术开发任务。岗位要求：1、计算机或者相关专业，统招全日制本科（必须）及以上学历；2、2年以上的Java开发及应用经验，掌握JSDK，J2EE的相关知识，精通JAVA基础，熟悉集合、多线程编程； 3、掌握js、jquery（会react、vue优先），熟练掌握JAVASCRIPT脚本编写，了解XML，XSLT, CSS的相关知识；4 、掌握数据库的相关知识，熟悉MYSQL/SQLSERVER/ORACLE任一种，具备SQL、触发器、函数、存储过程的编写能力； 上市公司“泛微软件”投资：契约锁——电子签约和智能印控一体化平台！！如果你不甘于平凡！如果你需要一个发挥才华的平台！！如果你希望靠自己努力实现财务自由！！！那么，带着你的才华和激情，加入我们团队吧！因为这里有足够优秀的人懂你的想法，这里有足够的空间给你大展拳脚......","移动互联网,企业服务",2000人以上,java,沈阳
java开发工程师,https://www.lagou.com/jobs/6808580.html,浑南区,6k-10k,北京直真科技股份有限公司,1-3年,本科,个人成长空间大 薪资提升快,"岗位职责：1.参与产品的详细设计及开发、测试；2.根据产品实际情况，分析业务需求，开展可行性分析。3.完成软件系统代码的实现，编写代码注释和开发文档；4.根据设计文档或需求说明完成代码编写和单元测试；5.分析并解决软件开发过程中的问题；6.配合项目经理完成相关任务目标。任职要求：1、计算机、通信、数学类相关专业，本科及以上学历；2、至少1年以上J2EE应用开发经验；3、熟悉J2EE开发及相关技术，熟悉HTML,java、flex、spring、ibatis和webservice等相关框架和技术；4、熟练使用oracle、mysql等常用的数据库系统、熟练使用 tomcat 应用服务器, 熟练使用Linux等操作系统；5、熟练使用SVN 、JUnit等常用工具；6、熟悉snmp、telnet、http、ssh等网络通信协议；7、具备良好的学习能力、沟通能力、逻辑思维能力和团队合作精神，较强的责任心；8、有移动、电信行业软件开发经验优先。",软件开发,500-2000人,java,沈阳
高级java开发工程师,https://www.lagou.com/jobs/6929567.html,沈河区,12k-18k,北京开科唯识技术有限公司,5-10年,本科,多次调薪 年终奖 餐补 节日福利 补贴,"任职要求：1、熟悉项目生命周期，熟悉多个项目的主要业务规则和流程，熟悉接口规范的原理；2、熟悉主流数据库（ORACLE、MySQL），具备框架（SSH、SSM等）下开发能力；3、Java开发语言，熟悉Eclipse、 Maven、 Git开发工具；4、掌握高并发，多线程相关技术，5、有linux/Unix操作系统下开发经验者优先；6、熟悉redis,springcloud/dubbo+zk微服务架构,vue等技术；7、熟悉数据库分库分表、应用高可用8、具有良好的沟通能力、团队合作精神和职业稳定性，工作积极主动、服从安排，能承受较大压力，责任心和学习能力强。9、具备项目管理能力10、有支付类型项目经验者优先且条件放宽；岗位职责：1、架构设计、概要设计、详细设计、编码实施、测试和文档编写的能力，实现项目开发上线的目标；2、根据项目总体计划要求，制定实施计划；3、项目管理、项目团队建设；",金融,500-2000人,java,沈阳
java高级开发工程师,https://www.lagou.com/jobs/7050305.html,铁西区,9k-15k,神州数码融信软件有限公司,3-5年,本科,五险一金午餐补助出差补助电话补助,1.3年以上java开发经验，本科以上学历；2.java基础扎实，熟悉分布式编程、锁、线程池、jvm等内容；3.熟悉spring、springMVC、springboot等框架，对框架原理有研究；4.熟悉java通讯协议，以及文件格式的转换；5.熟悉redis、mq等中间件；6.具有银行工作经验优先，能够接受出差优先。,金融,2000人以上,java,沈阳
JAVA开发工程师,https://www.lagou.com/jobs/7173149.html,浑南区,6k-12k,北京华软恒信科技发展有限公司,3-5年,本科,五险一金，大牛带队，项目奖金，节日福利,1、计算机相关专业，本科或以上学历，2年及以上工作经验；2、熟练使用springMVC，springBoot，mybaits或mybaits-plus等框架；3、熟练使用缓存，队列等技术， 如redis，rabbitMq，rocketMq等相关技术；4、熟练使用mysql数据库，熟悉sql优化；5、熟练使用Vue.js6、熟练使用maven，git，idea 等开发工具；7、掌握或者实践过分布式技术、微服务springboot cloud等技术者优先；,软件开发,15-50人,java,沈阳
Java开发工程师,https://www.lagou.com/jobs/7176998.html,和平区,4k-6k,倍奋软件科技（上海）有限公司,3-5年,本科,公司有细分市场的核心竞争力，上升空间大,招聘【JAVA工程师】base：沈阳1. 2-3年JAVA工作经验；2. 熟悉Web应用技术，至少包括HTML、JavaScript、JSP、Servlet、Web Services3. 熟悉SpringMVC、Spring、Hibernate等开源框架4. SpringBoot框架的设计与开发；具备Spring开发框架应用经验;5. 熟悉标准SQL语言，能熟练操作Oracle、mysql等数据库中的一种6. 熟悉Linux操作系统，熟悉基本的操作；7. 很好的沟通和表达能力，具有团队合作精神'8. 适应短期出差安排。,"数据服务,信息安全",少于15人,java,沈阳
高级Java软件工程师,https://www.lagou.com/jobs/6124316.html,沈河区,10k-20k,中寰卫星导航通信有限公司,5-10年,本科,"弹性工作,试用期全薪,福利待遇好","1.负责敏捷小组的日常管理、任务分配、进度推进。2.参与需求讨论与技术方案设计、制定研发计划。3.参与核心业务研发及维护。1.5年以上java后台研发经验，2年以上研发团队管理经验。2.熟悉敏捷研发流程、具备良好的应变协调能力。3.熟练掌握GIT版本管理工具、能够应对对敏捷模式下的分支管理。4.精通流JAVA开源技术，包括：Spring Cloud,Spring Boot，Mybatis等。5.精通微服务架构，具备服务调优能力。6.精通mysql、mongodb等常用数据库。7.精通缓存中间件，redis、memcache、kafka等。8.具备车联网行业项目经验的优先。9.能适应短期出差。10.具有团队合作精神及良好的沟通能力，具有创新和质量意识。",移动互联网,500-2000人,java,沈阳
JAVA，WEB开发工程师,https://www.lagou.com/jobs/7022117.html,沈河区,6k-8k,沈阳众业科技有限公司,3-5年,大专,五险一金 双休,"技能要求：java，JSP，html，JS，Css岗位职责：1.主要负责365跑腿网PC后台管控系统的开发以及商城I邻淘项目商家后台管理系统需要。任职要求：1.专业不限,工作经验3年以上2.相关技能会JAVA, JSP, HTML, JS, CSS等，3.主要开发PC端的后台系统","消费生活,物流丨运输",500-2000人,java,沈阳
Java开发工程师,https://www.lagou.com/jobs/6375903.html,沈河区,6k-8k,业乔投资（集团）有限公司,3-5年,本科,五险一金，餐补，话补，交通补助,岗位职责： 1.负责基于EAS系统技术平台的项目开发、EAS与其他业务系统的接口开发、报表开发、BI系统开发；  2.按时保质完成上级交给的软件开发项目； 3.具有良好的协调、沟通能力，并能够根据规划需求制定相关的技术解决方案；  任职资格： 1.计算机科学与技术及相关专业，本科及以上学历； 2.3年以上JAVA开发经验，JAVA语言基础扎实，精通面向对象的分析和设计技术，有金蝶EAS BOS的开发经验优先考虑；  3.能熟练使用Eclipse开发工具，熟悉服务器的配置和部署；  4.熟练掌握Mysql，有大数据量查询处理经验；  5.有使用JAVA开发WebService的经验； 6.具有良好的职业道德和工作态度，具有良好的学习能力和团队合作精神，具有良好的表达和沟通能力；,其他,500-2000人,java,沈阳
java开发工程师,https://www.lagou.com/jobs/7158648.html,浑南区,10k-15k,辽宁津港科技有限公司,5-10年,本科,发展前景,岗位职责1、 参与系统的需求调研和需求分析，撰写相关技术文档2、 搭建系统开发环境，完成系统框架和核心代码的实现；3、 项目概要设计、详细设计、开发计划等的编制并实施；4、 系统开发测试、部署和集成；5、 负责解决开发过程中的技术问题；6、 参与代码维护与备份；任职资格1.计算机类或相关专业，本科以上学历，5年以上JAVA程序开发经验，熟悉软件系统的开发流程；2.精通SPRING MVC、SPRING BOOT等技术框架3.熟悉Redis、MQ、文件存储、 Restful API、WebService、分布式多线程等相关开发技术；4.精通oracle或MySQL数据库，有数据库SQL调优经验者优先；5.了解 Bootstrap/Vue等前端技术框架；6.具有SPRING CLOUD微服务项目研发经验者优先； 7.熟悉TCP/IP协议，有自定协议传输研发经验者优先8.熟悉软件技术文档的编写；具备良好的文档编制习惯和代码书写规范；9.思路清晰，善于思考，能独立分析和解决问题；10.责任心强，具备良好的团队合作精神和承受压力的能力；有大数据开发经验优先录取,数据服务,少于15人,java,沈阳
Java开发工程师,https://www.lagou.com/jobs/6761910.html,浑南区,15k-20k,沈阳博通聚联科技有限公司,1-3年,本科,双休 五险一金 提供住宿 员工食堂,岗位要求1.全日制本科及以上学历，计算机相关专业2.能达到Java开发初级工程师水平3.日语2级或能听说读日语，技术优秀者日语要求可适当放宽4.有过对日项目经验优先5.能接受常驻日本薪资待遇五险一金底薪25万日元以上，人民币1.5万-2万/月工作地点:日本,信息安全、硬件,150-500人,java,沈阳
java开发工程师,https://www.lagou.com/jobs/6143931.html,沈河区,6k-8k,业乔投资（集团）有限公司,3-5年,本科,五险一金 餐补 话补 交通补助,1、3年以上工作经验；2、掌握java主流技术框架，如SpringMvc、SpringBoot等；3、掌握数据库的相关知识，至少熟练使用一种数据库系统，如PostgreSQL、MySQL、ORACLE等，具备SQL、触发器、函数、存储过程的编写能力；4、熟悉软件研发流程和常用设计模式；5、具备良好的沟通协调和团队协作能力，有强烈的责任心和积极主动的工作态度,其他,500-2000人,java,沈阳
Java开发工程师,https://www.lagou.com/jobs/6505635.html,浑南区,6k-10k,北京华软恒信科技发展有限公司,3-5年,本科,六险一金，免费午餐，年底奖金,"任职资格：1、3年以上工作经验；2、精通JAVA语言,精通J2EE编程技术；3、熟练应用Spring、springMVC、mybatis等主流开发框架；4、熟悉SQL Server/Oracle/MySQL等数据库, 能熟练运用SQL语句；5、熟练使用apache、tomcat、nginx等应用服务器；6、熟悉WEB应用客户端技术，Javascript、AJAX，特别是常用的JS组件库如bootstrap、jquery等；7、熟悉数据库优化及SQL优化；8、掌握Spring Boot、Spring Cloud、Dubbo等微服务框架者优先。",软件开发,15-50人,java,沈阳
中级Java开发工程师,https://www.lagou.com/jobs/6769046.html,和平区,7k-10k,融投世界科技有限公司,1-3年,大专,待遇优渥,职位说明：1、负责开发项目/产品的系统分析、需求分析、功能分析；2、负责软件项目/产品的组织研发与实施；3、负责保证开发软件的质量和符合客户需求；4、负责和上级沟通，整理需求，安排计划并汇报。任职要求：1、本科及以上学历，3年以上IT行业研发工作经验；2、熟悉Linux操作系统及相关命令；3、精通Java编程，能够熟练应用springboot、spring cloud、mybatis等主流开发框架；4、熟悉HTML\CSS\JS\JQUERY\H5\vuejs等技术；熟悉redis、nginx、tomcat、es等基础工具；5、熟悉ORACLE、mysql、redis数据库；6、研发过APP相关经验优先。,"移动互联网,企业服务",50-150人,java,沈阳
JAVA/Python讲师,https://www.lagou.com/jobs/6693473.html,和平区,8k-14k,沈阳市贝茨科技有限公司,3-5年,本科,扁平化管理 五险一金 双休 晋升空间大,"【岗位职责】1.具有1年以上教学经验，能按照教学大纲高质量完成日常授课任务；2.根据销售渠道的招生需要，高质量完成短期实训的授课任务；3.配合市场需要，高质量完成技术讲座的授课任务；4.积极保持技术先进性；5.完成相关的教学资料（实训大纲、教学PPT、教学用书、教学案例等）的研发工作  【任职要求】 1. 精通Java核心语法，对上述某个阶段的课程内容做到深入浅出。 2. 能熟练运用 Java，PYTHON, mysql ,html，javaScript，Jquery，css等； 3. 表达能力强，声音清晰自然，个性开朗，乐于与人交流。4. 3年以上JAVA/PYTHON实际项目开发经验，愿意根据工作需要学习新技术。5. 有很强的动手编码能力，以编码驱动教学。6. 有过1年以上教学经验优先考虑。 7.       熟悉项目开发流程，熟练使用CVS/SVN等版本控制软件； 8.       可根据业务需要出差","数据服务,其他",少于15人,java,沈阳
Java开发实习生,https://www.lagou.com/jobs/6601127.html,浑南区,4k-6k,沈阳博通聚联科技有限公司,应届毕业生,大专,双休 五险一金 提供住宿 员工食堂,任职要求：1.大专及以上学历，年龄20-26岁，吃苦耐劳，良好的学习能力，致力于软件行业发展；2.大专及以上学历，专业不限，计算机相关专业优先；3.应届毕业生均可提供实习岗；4.对于技术能力不足者，公司提供3-4个月岗前技术培训；欢迎有志青年加入！薪资待遇:档案薪资:大专:3k-5k＋补助＋六险二金＋项目奖金＋绩效奖金＋年底双薪＋定期涨薪本科:4.5k-6.5k＋补助＋六险二金＋项目奖金＋绩效奖金＋年底双薪＋定期涨薪硕士:6.5k＋补助＋六险二金＋项目奖金＋绩效奖金＋年底双薪＋定期涨薪,信息安全、硬件,150-500人,java,沈阳
